# Timer data started: Fri Mar 17 18:29:48 2023
# timer(10 ns), starts, total starts, total stops
1006, 5, 99950, 423
431, 70, 100020, 424
507, 37, 100057, 425
2533, 245, 100302, 426
1983, 123, 100425, 427
1513, 80, 100505, 428
2025, 297, 100802, 429
258, 360, 101162, 430
172, 8, 101170, 431
125, 135, 101305, 432
657, 123, 101428, 433
173, 97, 101525, 434
2975, 18, 101543, 435
143, 64, 101607, 436
2218, 200, 101807, 437
3792, 423, 102230, 438
1328, 309, 102539, 439
261, 380, 102919, 440
3653, 867, 103786, 441
3351, 966, 104752, 442
161, 44, 104796, 443
1727, 156, 104952, 444
295, 86, 105038, 445
1835, 370, 105408, 446
1736, 419, 105827, 447
1791, 14, 105841, 448
304, 6, 105847, 449
712, 65, 105912, 450
3037, 129, 106041, 451
467, 146, 106187, 452
2366, 164, 106351, 453
716, 34, 106385, 454
300, 128, 106513, 455
681, 48, 106561, 456
62, 18, 106579, 457
3637, 5, 106584, 458
693, 153, 106737, 459
109, 41, 106778, 460
54, 168, 106946, 461
55, 64, 107010, 462
1422, 10, 107020, 463
649, 99, 107119, 464
3716, 13, 107132, 465
253, 400, 107532, 466
1003, 125, 107657, 467
1175, 129, 107786, 468
429, 847, 108633, 469
2920, 372, 109005, 470
3141, 19, 109024, 471
55, 9, 109033, 472
258, 750, 109783, 473
2966, 310, 110093, 474
574, 72, 110165, 475
2711, 25, 110190, 476
416, 103, 110293, 477
3511, 209, 110502, 478
4034, 304, 110806, 479
71, 861, 111667, 480
1460, 268, 111935, 481
2374, 3, 111938, 482
24, 116, 112054, 483
207, 97, 112151, 484
253, 27, 112178, 485
126, 204, 112382, 486
359, 186, 112568, 487
532, 206, 112774, 488
793, 124, 112898, 489
237, 14, 112912, 490
33, 463, 113375, 491
35, 168, 113543, 492
2893, 30, 113573, 493
103, 25, 113598, 494
515, 200, 113798, 495
774, 17, 113815, 496
1882, 156, 113971, 497
158, 116, 114087, 498
260, 238, 114325, 499
3911, 36, 114361, 500
121, 267, 114628, 501
204, 69, 114697, 502
182, 114, 114811, 503
90, 93, 114904, 504
330, 62, 114966, 505
201, 285, 115251, 506
2644, 87, 115338, 507
43, 536, 115874, 508
198, 293, 116167, 509
30, 347, 116514, 510
3047, 10, 116524, 511
28, 209, 116733, 512
3807, 104, 116837, 513
835, 71, 116908, 514
3092, 277, 117185, 515
205, 341, 117526, 516
3512, 171, 117697, 517
549, 448, 118145, 518
2849, 590, 118735, 519
16, 153, 118888, 520
21, 237, 119125, 521
1360, 214, 119339, 522
137, 354, 119693, 523
580, 1146, 120839, 524
1527, 373, 121212, 525
786, 430, 121642, 526
3931, 42, 121684, 527
300, 136, 121820, 528
257, 799, 122619, 529
2122, 141, 122760, 530
1150, 481, 123241, 531
3652, 206, 123447, 532
3946, 195, 123642, 533
3175, 25, 123667, 534
3467, 28, 123695, 535
2097, 958, 124653, 536
44, 148, 124801, 537
163, 3, 124804, 538
3064, 97, 124901, 539
1387, 156, 125057, 540
614, 728, 125785, 541
240, 33, 125818, 542
152, 147, 125965, 543
131, 129, 126094, 544
21, 105, 126199, 545
67, 10, 126209, 546
66, 147, 126356, 547
747, 153, 126509, 548
108, 72, 126581, 549
1559, 58, 126639, 550
4073, 224, 126863, 551
237, 97, 126960, 552
2615, 32, 126992, 553
3102, 152, 127144, 554
3156, 111, 127255, 555
1224, 14, 127269, 556
138, 413, 127682, 557
145, 93, 127775, 558
2527, 33, 127808, 559
842, 566, 128374, 560
103, 1696, 130070, 561
932, 390, 130460, 562
1037, 347, 130807, 563
76, 145, 130952, 564
1812, 432, 131384, 565
195, 1007, 132391, 566
2211, 44, 132435, 567
1283, 305, 132740, 568
2378, 100, 132840, 569
3008, 92, 132932, 570
329, 142, 133074, 571
167, 110, 133184, 572
1122, 138, 133322, 573
84, 955, 134277, 574
159, 26, 134303, 575
1223, 282, 134585, 576
188, 763, 135348, 577
146, 315, 135663, 578
3842, 390, 136053, 579
91, 81, 136134, 580
444, 104, 136238, 581
74, 111, 136349, 582
268, 272, 136621, 583
472, 215, 136836, 584
178, 834, 137670, 585
2132, 243, 137913, 586
589, 130, 138043, 587
352, 191, 138234, 588
1993, 325, 138559, 589
3496, 13, 138572, 590
655, 391, 138963, 591
73, 95, 139058, 592
691, 167, 139225, 593
3664, 597, 139822, 594
138, 271, 140093, 595
400, 357, 140450, 596
27, 999, 141449, 597
98, 172, 141621, 598
1586, 359, 141980, 599
63, 280, 142260, 600
2533, 149, 142409, 601
2765, 450, 142859, 602
381, 133, 142992, 603
66, 194, 143186, 604
259, 319, 143505, 605
510, 42, 143547, 606
323, 54, 143601, 607
285, 320, 143921, 608
160, 48, 143969, 609
22, 1317, 145286, 610
131, 28, 145314, 611
3426, 60, 145374, 612
98, 383, 145757, 613
66, 89, 145846, 614
144, 8, 145854, 615
202, 149, 146003, 616
126, 39, 146042, 617
241, 769, 146811, 618
64, 315, 147126, 619
624, 289, 147415, 620
25, 243, 147658, 621
1982, 65, 147723, 622
135, 40, 147763, 623
263, 21, 147784, 624
3033, 445, 148229, 625
236, 197, 148426, 626
2184, 57, 148483, 627
190, 402, 148885, 628
460, 738, 149623, 629
225, 6, 149629, 630
214, 341, 149970, 631
146, 282, 150252, 632
37, 57, 150309, 633
1600, 56, 150365, 634
139, 45, 150410, 635
219, 40, 150450, 636
12, 65, 150515, 637
2549, 699, 151214, 638
44, 163, 151377, 639
261, 165, 151542, 640
40, 186, 151728, 641
221, 238, 151966, 642
1822, 164, 152130, 643
237, 158, 152288, 644
9, 150, 152438, 645
1846, 163, 152601, 646
2910, 357, 152958, 647
208, 893, 153851, 648
31, 1, 153852, 649
857, 219, 154071, 650
265, 210, 154281, 651
291, 60, 154341, 652
2887, 387, 154728, 653
1149, 420, 155148, 654
223, 153, 155301, 655
110, 55, 155356, 656
269, 153, 155509, 657
210, 88, 155597, 658
50, 263, 155860, 659
70, 262, 156122, 660
387, 6, 156128, 661
115, 132, 156260, 662
2837, 141, 156401, 663
738, 110, 156511, 664
1045, 553, 157064, 665
1746, 265, 157329, 666
3390, 82, 157411, 667
294, 208, 157619, 668
28, 97, 157716, 669
2938, 31, 157747, 670
93, 93, 157840, 671
2886, 74, 157914, 672
201, 160, 158074, 673
42, 422, 158496, 674
193, 181, 158677, 675
1840, 368, 159045, 676
3140, 464, 159509, 677
178, 251, 159760, 678
808, 64, 159824, 679
149, 264, 160088, 680
112, 149, 160237, 681
24, 111, 160348, 682
159, 96, 160444, 683
37, 79, 160523, 684
20, 225, 160748, 685
151, 4, 160752, 686
3936, 165, 160917, 687
3077, 75, 160992, 688
1525, 9, 161001, 689
181, 34, 161035, 690
11, 69, 161104, 691
1415, 129, 161233, 692
1677, 644, 161877, 693
68, 266, 162143, 694
158, 420, 162563, 695
720, 271, 162834, 696
63, 439, 163273, 697
144, 157, 163430, 698
185, 10, 163440, 699
396, 99, 163539, 700
335, 5, 163544, 701
1146, 271, 163815, 702
15, 56, 163871, 703
1301, 80, 163951, 704
77, 103, 164054, 705
79, 47, 164101, 706
3624, 254, 164355, 707
223, 177, 164532, 708
2470, 621, 165153, 709
2896, 236, 165389, 710
456, 333, 165722, 711
113, 176, 165898, 712
892, 170, 166068, 713
626, 338, 166406, 714
443, 362, 166768, 715
1203, 692, 167460, 716
238, 457, 167917, 717
87, 799, 168716, 718
465, 438, 169154, 719
